Estado	Q_RL	Q_Emp	Recompensas
----------------------------------------------------------------------------------------------------
(110, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.0, 1: 4.523561956057013, 2: 4.459431618637297, 3: 4.247927513443585}	True
(110, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.0, 1: 4.523561956057013, 2: 4.459431618637297, 3: 4.247927513443585}	False
(111, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.0, 1: 4.247927513443585, 2: 4.247927513443585, 3: 4.0}	True
(111, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.0, 1: 4.247927513443585, 2: 4.247927513443585, 3: 4.0}	False
(112, True)	{0: 0.08246659200000002, 1: 0.08320585036652456, 2: 0.084473632, 3: 0.084473632}	{0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}	True
(112, False)	{0: 0.08246659200000002, 1: 0.08320585036652456, 2: 0.084473632, 3: 0.084473632}	{0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}	False
(113, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}	True
(113, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.0, 3: 0.0}	False
(210, True)	{0: 0.096, 1: 0.096, 2: 0.096, 3: 0.0}	{0: 4.247927513443585, 1: 4.700439718141092, 2: 4.700439718141092, 3: 4.247927513443585}	True
(210, False)	{0: 0.096, 1: 0.096, 2: 0.096, 3: 0.0}	{0: 4.247927513443585, 1: 4.700439718141092, 2: 4.700439718141092, 3: 4.247927513443585}	False
(211, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.247927513443585, 1: 4.459431618637297, 2: 4.523561956057013, 3: 4.0}	True
(211, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.247927513443585, 1: 4.459431618637297, 2: 4.523561956057013, 3: 4.0}	False
(212, True)	{0: 0.08336865461751064, 1: 0.08391524804977137, 2: 0.0823659505477815, 3: 0.08148048000000002}	{0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}	True
(212, False)	{0: 0.08336865461751064, 1: 0.08391524804977137, 2: 0.0823659505477815, 3: 0.08148048000000002}	{0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}	False
(213, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}	True
(213, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.247927513443585, 3: 0.0}	False
(310, True)	{0: 0.09208000000000001, 1: 0.39846149731936786, 2: 0.096, 3: 0.096}	{0: 4.459431618637297, 1: 4.857980995127572, 2: 4.906890595608519, 3: 4.523561956057013}	True
(310, False)	{0: 0.09208000000000001, 1: 0.39846149731936786, 2: 0.096, 3: 0.096}	{0: 4.459431618637297, 1: 4.857980995127572, 2: 4.906890595608519, 3: 4.523561956057013}	False
(311, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.459431618637297, 1: 4.584962500721156, 2: 4.700439718141092, 3: 4.247927513443585}	True
(311, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.459431618637297, 1: 4.584962500721156, 2: 4.700439718141092, 3: 4.247927513443585}	False
(312, True)	{0: 0.08726613074142447, 1: 1.4852696597705615, 2: 0.08802799016531294, 3: 0.08530367284479357}	{0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}	True
(312, False)	{0: 0.08726613074142447, 1: 1.4852696597705615, 2: 0.08802799016531294, 3: 0.08530367284479357}	{0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}	False
(313, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}	True
(313, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.459431618637297, 3: 0.0}	False
(410, True)	{0: 0.4887736623549537, 1: 0.096, 2: 0.096, 3: 0.096}	{0: 4.584962500721156, 1: 4.954196310386875, 2: 5.044394119358453, 3: 4.700439718141092}	True
(410, False)	{0: 0.4887736623549537, 1: 0.096, 2: 0.096, 3: 0.096}	{0: 4.584962500721156, 1: 4.954196310386875, 2: 5.044394119358453, 3: 4.700439718141092}	False
(411, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.584962500721156, 1: 4.700439718141092, 2: 4.857980995127572, 3: 4.459431618637297}	True
(411, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.584962500721156, 1: 4.700439718141092, 2: 4.857980995127572, 3: 4.459431618637297}	False
(412, True)	{0: 0.08936085747174165, 1: 0.08953826650995023, 2: 2.6061059973204594, 3: 0.08797698452080577}	{0: 0.0, 1: 0.0, 2: 5.321928094887363, 3: 0.0}	True
(412, False)	{0: 0.08936085747174165, 1: 0.08953826650995023, 2: 2.6061059973204594, 3: 0.08797698452080577}	{0: 0.0, 1: 0.0, 2: 5.321928094887363, 3: 0.0}	False
(413, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.584962500721156, 3: 0.0}	True
(413, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 4.584962500721156, 3: 0.0}	False
(510, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.3581504938428749}	{0: 4.700439718141092, 1: 5.0, 2: 5.169925001442312, 3: 4.857980995127572}	True
(510, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.3581504938428749}	{0: 4.700439718141092, 1: 5.0, 2: 5.169925001442312, 3: 4.857980995127572}	False
(511, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.954196310386875, 1: 5.20945336562895, 2: 4.954196310386875, 3: 5.321928094887363}	True
(511, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.954196310386875, 1: 5.20945336562895, 2: 4.954196310386875, 3: 5.321928094887363}	False
(512, True)	{0: 0.08879964189983641, 1: 0.08894400000000001, 2: 0.09667953863139903, 3: 0.0869885476182859}	{0: 5.169925001442312, 1: 5.0, 2: 5.169925001442312, 3: 5.357552004618084}	True
(512, False)	{0: 0.08879964189983641, 1: 0.08894400000000001, 2: 0.09667953863139903, 3: 0.0869885476182859}	{0: 5.169925001442312, 1: 5.0, 2: 5.169925001442312, 3: 5.357552004618084}	False
(513, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 5.321928094887363, 3: 0.0}	True
(513, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 5.321928094887363, 3: 0.0}	False
(610, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}	{0: 4.700439718141092, 1: 4.954196310386875, 2: 5.459431618637297, 3: 4.954196310386875}	True
(610, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}	{0: 4.700439718141092, 1: 4.954196310386875, 2: 5.459431618637297, 3: 4.954196310386875}	False
(611, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 5.357552004618084, 1: 5.169925001442312, 2: 5.357552004618084, 3: 4.700439718141092}	True
(611, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 5.357552004618084, 1: 5.169925001442312, 2: 5.357552004618084, 3: 4.700439718141092}	False
(612, True)	{0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.0913419194274632}	{0: 0.0, 1: 4.954196310386875, 2: 5.459431618637297, 3: 5.459431618637297}	True
(612, False)	{0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.0913419194274632}	{0: 0.0, 1: 4.954196310386875, 2: 5.459431618637297, 3: 5.459431618637297}	False
(613, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 5.357552004618084, 3: 0.0}	True
(613, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 0.0, 1: 0.0, 2: 5.357552004618084, 3: 0.0}	False
(710, True)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}	{0: 5.169925001442312, 1: 4.857980995127572, 2: 5.169925001442312, 3: 5.0}	True
(710, False)	{0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}	{0: 5.169925001442312, 1: 4.857980995127572, 2: 5.169925001442312, 3: 5.0}	False
(711, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.954196310386875, 1: 5.044394119358453, 2: 4.954196310386875, 3: 4.700439718141092}	True
(711, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.954196310386875, 1: 5.044394119358453, 2: 4.954196310386875, 3: 4.700439718141092}	False
(712, True)	{0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}	{0: 4.700439718141092, 1: 5.357552004618084, 2: 5.169925001442312, 3: 5.0}	True
(712, False)	{0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}	{0: 4.700439718141092, 1: 5.357552004618084, 2: 5.169925001442312, 3: 5.0}	False
(713, True)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.954196310386875, 1: 5.044394119358453, 2: 4.954196310386875, 3: 5.20945336562895}	True
(713, False)	{0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}	{0: 4.954196310386875, 1: 5.044394119358453, 2: 4.954196310386875, 3: 5.20945336562895}	False
