Paso	Empowerment M�ximo
1	4.0
2	5.584962500721156
3	5.584962500721156
4	6.321928094887363
5	6.754887502163468
6	7.044394119358453
7	7.129283016944966
8	7.977279923499917
9	7.087462841250339
10	7.20945336562895
11	7.491853096329675
12	7.832890014164741
13	8.066089190457772
14	8.189824558880018
15	8.087462841250339
16	8.228818690495881
17	8.129283016944967
18	8.321928094887362
19	8.523561956057012
20	8.321928094887362
21	8.539158811108031
22	8.303780748177104
23	8.614709844115207
24	8.78135971352466
25	8.832890014164741
26	8.832890014164741
27	8.442943495848727
28	8.94251450533924
29	8.375039431346924
30	8.918863237274595
31	8.539158811108031
32	8.672425341971495
33	8.768184324776925
34	8.832890014164741
35	8.94251450533924
36	8.930737337562887
37	8.94251450533924
38	8.820178962415188
39	8.965784284662087
40	8.930737337562887
41	8.94251450533924
42	8.954196310386875
43	8.94251450533924
44	8.965784284662087
45	8.584962500721156
46	8.845490050944374
47	8.584962500721156
48	8.70043971814109
49	8.599912842187127
50	8.820178962415188
51	8.672425341971495
52	8.845490050944374
53	8.870364719583405
54	8.807354922057604
55	8.870364719583405
56	8.807354922057604
57	8.94251450533924
58	8.807354922057604
59	8.94251450533924
60	8.820178962415188
61	8.599912842187127
62	8.599912842187127
63	8.882643049361842
64	8.820178962415188
65	8.754887502163468
66	8.820178962415188
67	8.832890014164741
68	8.820178962415188
69	8.870364719583405
70	8.894817763307945
71	8.954196310386875
72	8.954196310386875
73	8.965784284662087
74	8.954196310386875
75	8.965784284662087
76	8.954196310386875
77	8.894817763307945
78	8.845490050944374
79	8.78135971352466
80	8.845490050944374
81	8.820178962415188
82	8.894817763307945
83	8.954196310386875
84	8.845490050944374
85	8.894817763307945
86	8.845490050944374
87	8.894817763307945
88	8.845490050944374
89	8.894817763307945
90	8.954196310386875
91	8.894817763307945
92	8.954196310386875
93	8.90689059560852
94	8.954196310386875
95	8.954196310386875
96	8.954196310386875
97	8.954196310386875
98	8.954196310386875
99	8.965784284662087
100	8.965784284662087
101	8.965784284662087
102	8.965784284662087
103	8.965784284662087
104	8.965784284662087
105	8.965784284662087
106	8.965784284662087
107	8.965784284662087
108	8.965784284662087
109	8.965784284662087
110	8.965784284662087
111	8.965784284662087
112	8.965784284662087
113	8.965784284662087
114	8.965784284662087
115	8.965784284662087
116	8.965784284662087
117	8.965784284662087
118	8.965784284662087
119	8.965784284662087
120	8.965784284662087
121	8.965784284662087
122	8.965784284662087
123	8.965784284662087
124	8.965784284662087
125	8.965784284662087
126	8.965784284662087
127	8.965784284662087
128	8.965784284662087
129	8.965784284662087
130	8.965784284662087
131	8.965784284662087
132	8.965784284662087
133	8.965784284662087
134	8.965784284662087
135	8.965784284662087
136	8.965784284662087
137	8.965784284662087
138	8.965784284662087
139	8.965784284662087
140	8.965784284662087
141	8.965784284662087
142	8.965784284662087
143	8.965784284662087
144	8.965784284662087
145	8.965784284662087
146	8.965784284662087
147	8.965784284662087
148	8.965784284662087
149	8.965784284662087
