State 105: {0: 0, 1: 0, 2: 0, 3: 0}
State 205: {0: 0, 1: 0, 2: 0, 3: 0}
State 305: {0: 0, 1: 0, 2: 0, 3: 0}
State 405: {0: 0, 1: 0, 2: 0, 3: 0}
State 505: {0: 0, 1: 0, 2: 0, 3: 0}
State 605: {0: 0, 1: 0, 2: 0, 3: 0}
State 705: {0: 0, 1: 0, 2: 0, 3: 0}
State 805: {0: 0, 1: 0, 2: 0, 3: 0}
State 905: {0: 0, 1: 0, 2: 0, 3: 0}
State 1005: {0: 0, 1: 0, 2: 0, 3: 0}
State 1105: {0: 0, 1: 0, 2: 0, 3: 0}
State 1205: {0: 0, 1: 0, 2: 0, 3: 0}
State 1305: {0: 0, 1: 0, 2: 0, 3: 0}
State 1405: {0: 0, 1: 0, 2: 0, 3: 0}
State 1505: {0: 0, 1: 0, 2: 0, 3: 0}
State 106: {0: 0, 1: 0, 2: 0, 3: 0}
State 206: {0: 0, 1: 0, 2: 0, 3: 0}
State 306: {0: 0, 1: 0, 2: 0, 3: 0}
State 406: {0: 0, 1: 0, 2: 0, 3: 0}
State 506: {0: 0, 1: 0, 2: 0, 3: 0}
State 606: {0: 0, 1: 0, 2: 0, 3: 0}
State 706: {0: 0, 1: 0, 2: 0, 3: 0}
State 806: {0: 0, 1: 0, 2: 0, 3: 0}
State 906: {0: 0, 1: 0, 2: 0, 3: 0}
State 1006: {0: 0, 1: 0, 2: 0, 3: 0}
State 1106: {0: 0, 1: 0, 2: 0, 3: 0}
State 1206: {0: 0, 1: 0, 2: 0, 3: 0}
State 1306: {0: 0, 1: 0, 2: 0, 3: 0}
State 1406: {0: 0, 1: 0, 2: 0, 3: 0}
State 1506: {0: 0, 1: 0, 2: 0, 3: 0}
State 107: {0: 0, 1: 0, 2: 0, 3: 0}
State 207: {0: 0, 1: 0, 2: 0, 3: 0}
State 307: {0: 0, 1: 0, 2: 0, 3: 0}
State 407: {0: 0, 1: 0, 2: 0, 3: 0}
State 507: {0: 0, 1: 0, 2: 0, 3: 0}
State 607: {0: 0, 1: 0, 2: 0, 3: 0}
State 707: {0: 0, 1: 0, 2: 0, 3: 0}
