State 110: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 111: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 112: {0: 0.08246659200000002, 1: 0.08320585036652456, 2: 0.084473632, 3: 0.084473632}
State 113: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 210: {0: 0.096, 1: 0.096, 2: 0.096, 3: 0.0}
State 211: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 212: {0: 0.08336865461751064, 1: 0.08391524804977137, 2: 0.0823659505477815, 3: 0.08148048000000002}
State 213: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 310: {0: 0.09208000000000001, 1: 0.39846149731936786, 2: 0.096, 3: 0.096}
State 311: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 312: {0: 0.08726613074142447, 1: 1.4852696597705615, 2: 0.08802799016531294, 3: 0.08530367284479357}
State 313: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 410: {0: 0.4887736623549537, 1: 0.096, 2: 0.096, 3: 0.096}
State 411: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 412: {0: 0.08936085747174165, 1: 0.08953826650995023, 2: 2.6061059973204594, 3: 0.08797698452080577}
State 413: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 510: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.3581504938428749}
State 511: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 512: {0: 0.08879964189983641, 1: 0.08894400000000001, 2: 0.09667953863139903, 3: 0.0869885476182859}
State 513: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 610: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 611: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 612: {0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.0913419194274632}
State 613: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 710: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 711: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 712: {0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.096, 3: 0.096}
State 713: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 810: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 811: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 812: {0: 0.09280000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.096}
State 813: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 910: {0: 0.09208000000000001, 1: 0.09208000000000001, 2: 0.09208000000000001, 3: 0.09208000000000001}
State 911: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
