State 110: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 111: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 112: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 113: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 210: {0: 0.096, 1: 0.096, 2: 0.1, 3: 0.096}
State 211: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 212: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 213: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 310: {0: 0.1, 1: 0.096, 2: 0.1, 3: 0.1}
State 311: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 312: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 313: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 410: {0: 0.1, 1: 0.1, 2: 0.096, 3: 0.1}
State 411: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 412: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 413: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 510: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 511: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 512: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 513: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 610: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 611: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 612: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 613: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 710: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 711: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 712: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 713: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 810: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 811: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 812: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 813: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 910: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 911: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 912: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 913: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 1010: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 1011: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 1012: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 1013: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 1110: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 1111: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 1112: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 1113: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 120: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 121: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 122: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
State 123: {0: 0.1, 1: 0.1, 2: 0.1, 3: 0.1}
