State 0: {0: 0.000908533095520725, 1: 0.09927554527605478, 2: 0.021889575467296297, 3: 0.04738069865609843}
State 1: {0: 0.041498318061558175, 1: 0.03241818881992974, 2: 0.07737562427407743, 3: 0.03414417003754914}
State 2: {0: 0.09930225263877122, 1: 0.01268307199508214, 2: 0.06456773477400422, 3: 0.06604830040564162}
State 3: {0: 0.07248919067444584, 1: 0.06909527511255463, 2: 0.026318309210823287, 3: 0.08128189407024462}
State 100: {0: 0.02582607725048889, 1: 0.005447404861343519, 2: 0.06559187769359366, 3: 0.040697139374019975}
State 101: {0: 3.251786558324187, 1: 7.13120702610006, 2: 4.287675858768959, 3: 4.503036632967073}
State 102: {0: 13.672566847337873, 1: 3.4263679547872905, 2: 4.395345400200402, 3: 4.3436036433163405}
State 103: {0: 18.31676821915172, 1: 29.604599614408453, 2: 15.5927443666158, 3: 17.81103564456635}
State 200: {0: 0.07001026499135884, 1: 0.040025350427263656, 2: 0.08107106809972958, 3: 0.08932716171874906}
State 201: {0: 4.999905739647914, 1: 8.848229228296843, 2: 5.970313873475954, 3: 4.7438105606988605}
State 202: {0: 18.12508121112318, 1: 6.008271552682638, 2: 6.160880819663678, 3: 6.503056420884623}
State 203: {0: 33.11838500620416, 1: 25.988992834353823, 2: 28.97969452921073, 3: 26.410827364634947}
State 300: {0: 0.09237400479304055, 1: 0.027837920231851578, 2: 0.005198200625731064, 3: 0.0023644797402810227}
State 301: {0: 8.561425046208765, 1: 7.970448439924401, 2: 10.03869521978519, 3: 6.710911327968736}
State 302: {0: 9.600481618612381, 1: 6.273557171767958, 2: 5.959080791506972, 3: 3.3446018771014265}
State 303: {0: 18.334492318168607, 1: 13.709763423934545, 2: 17.571381064417547, 3: 29.070708409377097}
State 400: {0: 0.0763220492712669, 1: 0.07198435155992076, 2: 0.04608009067388638, 3: 0.08037692130679479}
State 401: {0: 4.788488319309591, 1: 5.86066911437524, 2: 7.435861264789105, 3: 9.257220778677228}
State 402: {0: 7.220145006234785, 1: 2.498037966606721, 2: 6.855573009831695, 3: 2.182579460565656}
State 403: {0: 10.396544140240966, 1: 9.244310252281567, 2: 4.892738725663153, 3: 14.899458773710586}
State 500: {0: 0.027638704615615052, 1: 0.003609990003436847, 2: 0.09060335261285041, 3: 0.06263737779122797}
State 501: {0: 2.966764719488675, 1: 0.599123922755757, 2: 5.047047489008041, 3: 6.709719004779159}
State 502: {0: 2.471244396033232, 1: 2.0482532447457595, 2: 2.361703200065783, 3: 4.487196021544343}
State 503: {0: 7.541706136115878, 1: 9.8422214984525, 2: 5.804906271015208, 3: 3.357743825196188}
State 600: {0: 0.08513973832707454, 1: 0.015617495344896115, 2: 0.08317245888519559, 3: 0.023559036116411136}
State 601: {0: 0.6145644948608588, 1: 0.08560383681907902, 2: 0.504172168899159, 3: 1.0899158108985327}
State 602: {0: 2.0718182722979464, 1: 0.06644442152186784, 2: 1.0294608676378, 3: 2.4151079029302225}
State 603: {0: 9.704222751073415, 1: 3.0131486061291746, 2: 5.7426609427649655, 3: 3.9791670841519444}
State 700: {0: 0.089046812477534, 1: 0.09789162916196452, 2: 0.04207974566737201, 3: 0.02257609104852412}
State 701: {0: 0.0774866648241814, 1: 0.4946239815615979, 2: 0.5257098847651565, 3: 0.024427011897458696}
State 702: {0: 0.015657798294136504, 1: 0.5194659372031133, 2: 0.49667743223919625, 3: 0.6650100265782065}
State 703: {0: 2.481612947424128, 1: 0.5921891988501867, 2: 1.4330823786278104, 3: 4.142741190612764}
State 800: {0: 0.015326094774918276, 1: 0.03245095913305438, 2: 0.06922484268758855, 3: 0.06394467093257593}
State 801: {0: 0.023787395283700875, 1: 0.45732259754038757, 2: 0.03136992956562813, 3: 0.0025563955425307763}
State 802: {0: 0.07529342721494146, 1: 0.5222983838261227, 2: 0.038123826613144465, 3: 0.6101294648623301}
State 803: {0: 0.5991712459810581, 1: 1.5167487531234436, 2: 0.0731784642502457, 3: 0.06555487873292841}
State 900: {0: 0.07873612609271678, 1: 0.09643243504698817, 2: 0.025257567567000806, 3: 0.033509427239964584}
State 901: {0: 1.0472585746808791, 1: 0.4356006858393806, 2: 0.5243802994338085, 3: 0.0947533651336531}
State 902: {0: 0.5676526859043005, 1: 0.09014809801684848, 2: 0.538638257303839, 3: 0.5419492111669114}
State 903: {0: 1.557801347124769, 1: 0.511922909145821, 2: 0.035677940613122454, 3: 1.0923100985911807}
State 1000: {0: 0.09373306431182613, 1: 0.04792560566339763, 2: 0.0260440808056729, 3: 0.05970141545873606}
State 1001: {0: 0.9951557734445398, 1: 0.04962642046205354, 2: 0.46935073222477885, 3: 0.5136753723517343}
State 1002: {0: 0.026511275793576452, 1: 0.884699945485901, 2: 1.0139750858748924, 3: 0.012088551286195237}
State 1003: {0: 0.5278617373823493, 1: 0.5019362016728288, 2: 0.950023651331938, 3: 0.019885585917341287}
State 1100: {0: 0.056902341839774974, 1: 0.09885673423319924, 2: 0.020354866220907698, 3: 0.09069961899110861}
State 1101: {0: 0.0035937614313497623, 1: 0.04861035794702313, 2: 0.07733070187024786, 3: 0.06822696824174455}
State 1102: {0: 0.0927247185446019, 1: 0.039999527563089554, 2: 0.08314727309715263, 3: 1.0405765749159974}
State 1103: {0: 0.49226327521851065, 1: 0.8996333427460873, 2: 0.9243410751016392, 3: 0.5343430532798313}
State 1200: {0: 0.043700451982026094, 1: 0.09107949121009867, 2: 0.002384938263839598, 3: 0.054477708584479534}
State 1201: {0: 0.0746794830063263, 1: 0.04211669253187882, 2: 0.0003465892823155459, 3: 0.057330453826602915}
State 1202: {0: 0.03474103305997386, 1: 0.002427354553933736, 2: 0.0986210509128075, 3: 0.09374483508733235}
State 1203: {0: 0.07975441970463827, 1: 0.08349523007443904, 2: 0.07559970233082366, 3: 0.06003976134669517}
State 4: {0: 0.001929779259289377, 1: 0.062204879196545576, 2: 0.07768966513596011, 3: 0.022562406925649117}
