State 0: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1: {0: 0.0, 1: 4.0, 2: 0.0, 3: 0.0}
State 2: {0: 0.0, 1: 4.247927513443585, 2: 0.0, 3: 0.0}
State 3: {0: 0.0, 1: 4.459431618637297, 2: 0.0, 3: 0.0}
State 100: {0: 4.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 101: {0: 4.247927513443585, 1: 4.247927513443585, 2: 4.0, 3: 4.0}
State 102: {0: 4.459431618637297, 1: 4.523561956057013, 2: 4.0, 3: 4.247927513443585}
State 103: {0: 4.584962500721156, 1: 4.700439718141092, 2: 4.247927513443585, 3: 4.459431618637297}
State 200: {0: 4.247927513443585, 1: 0.0, 2: 0.0, 3: 0.0}
State 201: {0: 4.523561956057013, 1: 4.459431618637297, 2: 4.247927513443585, 3: 4.0}
State 202: {0: 4.700439718141092, 1: 4.700439718141092, 2: 4.247927513443585, 3: 4.247927513443585}
State 203: {0: 4.857980995127572, 1: 4.906890595608519, 2: 4.523561956057013, 3: 4.459431618637297}
State 300: {0: 4.459431618637297, 1: 0.0, 2: 0.0, 3: 0.0}
State 301: {0: 4.700439718141092, 1: 4.584962500721156, 2: 4.459431618637297, 3: 4.247927513443585}
State 302: {0: 4.906890595608519, 1: 4.857980995127572, 2: 4.459431618637297, 3: 4.523561956057013}
State 303: {0: 5.044394119358453, 1: 5.044394119358453, 2: 4.700439718141092, 3: 4.700439718141092}
State 400: {0: 4.584962500721156, 1: 0.0, 2: 0.0, 3: 0.0}
State 401: {0: 4.857980995127572, 1: 4.700439718141092, 2: 4.584962500721156, 3: 4.459431618637297}
State 402: {0: 5.044394119358453, 1: 4.954196310386875, 2: 4.584962500721156, 3: 4.700439718141092}
State 403: {0: 5.20945336562895, 1: 5.169925001442312, 2: 4.857980995127572, 3: 4.906890595608519}
State 500: {0: 4.700439718141092, 1: 0.0, 2: 0.0, 3: 0.0}
State 501: {0: 4.954196310386875, 1: 4.700439718141092, 2: 4.700439718141092, 3: 4.584962500721156}
State 502: {0: 5.169925001442312, 1: 5.0, 2: 4.700439718141092, 3: 4.857980995127572}
State 503: {0: 5.321928094887363, 1: 5.20945336562895, 2: 4.954196310386875, 3: 5.044394119358453}
State 600: {0: 4.700439718141092, 1: 0.0, 2: 0.0, 3: 0.0}
State 601: {0: 5.0, 1: 4.700439718141092, 2: 4.700439718141092, 3: 4.700439718141092}
State 602: {0: 5.20945336562895, 1: 4.954196310386875, 2: 4.700439718141092, 3: 4.954196310386875}
State 603: {0: 5.357552004618084, 1: 5.169925001442312, 2: 5.0, 3: 5.169925001442312}
State 700: {0: 4.700439718141092, 1: 0.0, 2: 0.0, 3: 0.0}
State 701: {0: 4.954196310386875, 1: 4.584962500721156, 2: 4.700439718141092, 3: 4.700439718141092}
State 702: {0: 5.169925001442312, 1: 4.857980995127572, 2: 4.700439718141092, 3: 5.0}
State 703: {0: 4.954196310386875, 1: 5.044394119358453, 2: 4.954196310386875, 3: 5.20945336562895}
State 800: {0: 4.584962500721156, 1: 0.0, 2: 0.0, 3: 0.0}
State 801: {0: 4.857980995127572, 1: 4.459431618637297, 2: 4.584962500721156, 3: 4.700439718141092}
State 802: {0: 5.044394119358453, 1: 4.700439718141092, 2: 4.584962500721156, 3: 4.954196310386875}
State 803: {0: 4.857980995127572, 1: 4.906890595608519, 2: 4.857980995127572, 3: 5.169925001442312}
State 900: {0: 4.459431618637297, 1: 0.0, 2: 0.0, 3: 0.0}
State 901: {0: 4.700439718141092, 1: 4.247927513443585, 2: 4.459431618637297, 3: 4.584962500721156}
State 902: {0: 4.906890595608519, 1: 4.523561956057013, 2: 4.459431618637297, 3: 4.857980995127572}
State 903: {0: 5.044394119358453, 1: 4.247927513443585, 2: 4.459431618637297, 3: 4.584962500721156}
State 1000: {0: 4.247927513443585, 1: 0.0, 2: 0.0, 3: 0.0}
State 1001: {0: 4.523561956057013, 1: 4.0, 2: 4.247927513443585, 3: 4.459431618637297}
State 1002: {0: 4.700439718141092, 1: 4.247927513443585, 2: 4.247927513443585, 3: 4.700439718141092}
State 1003: {0: 4.523561956057013, 1: 4.459431618637297, 2: 4.247927513443585, 3: 4.459431618637297}
State 1100: {0: 4.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1101: {0: 4.247927513443585, 1: 4.0, 2: 4.0, 3: 4.247927513443585}
State 1102: {0: 4.459431618637297, 1: 4.247927513443585, 2: 4.0, 3: 4.523561956057013}
State 1103: {0: 4.584962500721156, 1: 4.0, 2: 4.247927513443585, 3: 4.247927513443585}
State 1200: {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0}
State 1201: {0: 0.0, 1: 0.0, 2: 0.0, 3: 4.0}
State 1202: {0: 0.0, 1: 0.0, 2: 0.0, 3: 4.247927513443585}
State 1203: {0: 0.0, 1: 0.0, 2: 0.0, 3: 4.459431618637297}
State 4: {0: 0.0, 1: 4.584962500721156, 2: 0.0, 3: 0.0}
State 104: {0: 4.700439718141092, 1: 4.857980995127572, 2: 4.459431618637297, 3: 4.584962500721156}
State 204: {0: 4.954196310386875, 1: 5.044394119358453, 2: 4.700439718141092, 3: 4.584962500721156}
State 304: {0: 5.169925001442312, 1: 5.20945336562895, 2: 4.906890595608519, 3: 4.857980995127572}
State 404: {0: 5.321928094887363, 1: 5.321928094887363, 2: 5.044394119358453, 3: 5.044394119358453}
