State 104: {0: -0.2881, 1: -0.31159000000000003, 2: -0.2791, 3: -0.29701}
State 204: {0: -0.29701, 1: -0.19981000000000002, 2: -0.199, 3: -0.28891}
State 304: {0: -0.29701, 1: -0.20791000000000004, 2: -0.199, 3: -0.199}
State 404: {0: -0.199, 1: -0.21520000000000003, 2: -0.2881, 3: -0.28891}
State 504: {0: -0.29701, 1: -0.21601000000000004, 2: -0.2881, 3: -0.199}
State 604: {0: -0.29701, 1: -0.31159000000000003, 2: -0.2791, 3: -0.28}
State 704: {0: -0.29701, 1: -0.29701, 2: -0.35119, 3: -0.2881}
State 804: {0: -0.29701, 1: -0.29919700000000005, 2: -0.28, 3: -0.392428}
State 904: {0: -0.2881, 1: -0.31159000000000003, 2: -0.29701, 3: -0.29708290000000004}
State 1004: {0: -0.2881, 1: -0.29701, 2: -0.36019, 3: -0.28891}
State 1104: {0: -0.296929, 1: -0.29701, 2: -0.2791, 3: -0.29701}
State 105: {0: -0.2962, 1: -0.19981000000000002, 2: -0.29701, 3: -0.199}
State 205: {0: -0.29701, 1: -0.20791000000000004, 2: -0.28, 3: -0.199}
State 305: {0: -0.2962, 1: -0.20791000000000004, 2: -0.28, 3: -0.199}
State 405: {0: -0.2962, 1: -0.21520000000000003, 2: -0.2881, 3: -0.199}
State 505: {0: -0.2962, 1: -0.31895290000000004, 2: -0.28081, 3: -0.29701}
State 605: {0: -0.29701, 1: -0.29701, 2: -0.370639, 3: -0.29701}
State 705: {0: -0.29708290000000004, 1: -0.29919700000000005, 2: -0.29701, 3: -0.29701}
State 805: {0: -0.2978119, 1: -0.312319, 2: -0.29701, 3: -0.29708290000000004}
State 905: {0: -0.28891, 1: -0.305029, 2: -0.29701, 3: -0.29701}
State 1005: {0: -0.29701, 1: -0.3043, 2: -0.271, 3: -0.2881}
State 1105: {0: -0.30648700000000006, 1: -0.29701, 2: -0.28, 3: -0.2881}
State 106: {0: -0.28, 1: -0.3058309, 2: -0.28891, 3: -0.29701}
State 206: {0: -0.29701, 1: -0.3058309, 2: -0.2881, 3: -0.2881}
State 306: {0: -0.29701, 1: -0.3058309, 2: -0.2881, 3: -0.2881}
State 406: {0: -0.29701, 1: -0.30648700000000006, 2: -0.2881, 3: -0.28891}
State 506: {0: -0.298468, 1: -0.31960900000000003, 2: -0.372097, 3: -0.2881}
State 606: {0: -0.31960900000000003, 1: -0.29701, 2: -0.36991, 3: -0.38456290000000004}
State 706: {0: -0.2962, 1: -0.295219, 2: -0.29701, 3: -0.29919700000000005}
State 806: {0: -0.378658, 1: -0.29701, 2: -0.29701, 3: -0.305029}
State 906: {0: -0.29701, 1: -0.29701, 2: -0.29701, 3: -0.31239190000000006}
State 1006: {0: -0.29701, 1: -0.29701, 2: -0.29701, 3: -0.29701}
State 1106: {0: -0.31159000000000003, 1: -0.271, 2: -0.2881, 3: -0.29701}
State 107: {0: -0.28, 1: -0.19981000000000002, 2: -0.29701, 3: -0.199}
State 207: {0: -0.29701, 1: -0.21601000000000004, 2: -0.2962, 3: -0.29701}
State 307: {0: -0.2881, 1: -0.2071, 2: -0.2962, 3: -0.29701}
State 407: {0: -0.296929, 1: -0.19981000000000002, 2: -0.28891, 3: -0.28}
State 507: {0: -0.29701, 1: -0.320338, 2: -0.29701, 3: -0.28}
State 607: {0: -0.36991, 1: -0.37720000000000004, 2: -0.39178, 3: -0.37720000000000004}
State 707: {0: -0.2978119, 1: -0.29701, 2: -0.36973090000000003, 3: -0.28891}
State 807: {0: -0.29701, 1: -0.30502900000000005, 2: -0.28891, 3: -0.3043}
State 907: {0: -0.28891, 1: -0.2962, 2: -0.298468, 3: -0.2071}
State 1007: {0: -0.28891, 1: -0.29701, 2: -0.29701, 3: -0.29708290000000004}
State 1107: {0: -0.29701, 1: -0.29701, 2: -0.2881, 3: -0.29701}
State 108: {0: -0.2962, 1: -0.296758, 2: -0.199, 3: -0.199}
State 208: {0: -0.29449000000000003, 1: -0.21601000000000004, 2: -0.29701, 3: -0.199}
State 308: {0: -0.2962, 1: -0.2978119, 2: -0.29701, 3: -0.199}
State 408: {0: -0.29619190000000006, 1: -0.31378356100000004, 2: -0.29701, 3: -0.29701}
State 508: {0: -0.39264022000000004, 1: -0.31312090000000004, 2: -0.29701, 3: -0.37720000000000004}
State 608: {0: -0.392509, 1: -0.36991, 2: -0.3043, 3: -0.393238}
State 708: {0: -0.28, 1: -0.29701, 2: -0.29701, 3: -0.313048}
State 808: {0: -0.19981000000000002, 1: -0.29701, 2: -0.29701, 3: -0.29701}
State 908: {0: -0.2962, 1: -0.20710000000000003, 2: -0.28891, 3: -0.29701}
State 1008: {0: -0.298468, 1: -0.2962, 2: -0.29701, 3: -0.2071}
State 1108: {0: -0.20710000000000003, 1: -0.29701, 2: -0.28, 3: -0.29708290000000004}
State 109: {0: -0.28, 1: -0.21520000000000003, 2: -0.29701, 3: -0.199}
State 209: {0: -0.28891, 1: -0.29701, 2: -0.370639, 3: -0.28891}
State 309: {0: -0.29701, 1: -0.21746800000000002, 2: -0.28891, 3: -0.3043729}
State 409: {0: -0.36991, 1: -0.312319, 2: -0.296929, 3: -0.36991}
State 509: {0: -0.29701, 1: -0.312319, 2: -0.37063900000000005, 3: -0.3851461}
State 609: {0: -0.37720000000000004, 1: -0.37720000000000004, 2: -0.38449, 3: -0.4573900000000001}
State 709: {0: -0.29701, 1: -0.29701, 2: -0.199, 3: -0.2881}
State 809: {0: -0.2881, 1: -0.199, 2: -0.199, 3: -0.20710000000000003}
State 909: {0: -0.20710000000000003, 1: -0.2881, 2: -0.28891, 3: -0.199}
State 1009: {0: -0.3043, 1: -0.28, 2: -0.2881, 3: -0.20791000000000004}
State 1109: {0: -0.20710000000000003, 1: -0.19, 2: -0.19, 3: -0.20791}
State 110: {0: -0.28, 1: -0.19981000000000002, 2: -0.29701, 3: -0.199}
State 210: {0: -0.29701, 1: -0.2071, 2: -0.21520000000000003, 3: -0.2881}
State 310: {0: -0.28081, 1: -0.2071, 2: -0.19981000000000002, 3: -0.2881}
State 410: {0: -0.2881, 1: -0.29701, 2: -0.31159000000000003, 3: -0.2881}
State 510: {0: -0.2881, 1: -0.2962, 2: -0.28, 3: -0.2881}
State 610: {0: -0.28891, 1: -0.29701, 2: -0.3195361, 3: -0.29701}
State 710: {0: -0.28898290000000004, 1: -0.29701, 2: -0.20791, 3: -0.29846071}
State 810: {0: -0.389431, 1: -0.2962, 2: -0.199, 3: -0.199}
State 910: {0: -0.28891, 1: -0.29779651, 2: -0.2881, 3: -0.20791}
State 1010: {0: -0.31287871, 1: -0.2881, 2: -0.2881, 3: -0.29701}
State 1110: {0: -0.28963900000000004, 1: -0.199, 2: -0.199, 3: -0.28891}
State 111: {0: -0.19, 1: -0.20791, 2: -0.20791, 3: -0.1}
State 211: {0: -0.2881, 1: -0.19981000000000002, 2: -0.29701, 3: -0.199}
State 311: {0: -0.28, 1: -0.21520000000000003, 2: -0.199, 3: -0.20710000000000003}
State 411: {0: -0.271, 1: -0.2881, 2: -0.30502900000000005, 3: -0.2881}
State 511: {0: -0.28, 1: -0.2071, 2: -0.2881, 3: -0.298468}
State 611: {0: -0.271, 1: -0.2962, 2: -0.29701, 3: -0.20710000000000003}
State 711: {0: -0.28, 1: -0.313048, 2: -0.2881, 3: -0.29773900000000003}
State 811: {0: -0.35290000000000005, 1: -0.392427271, 2: -0.37770220000000004, 3: -0.2962}
State 911: {0: -0.36100000000000004, 1: -0.38578681000000004, 2: -0.2881, 3: -0.29701}
State 1011: {0: -0.3537829, 1: -0.39907000000000004, 2: -0.3681361, 3: -0.3835261}
State 1111: {0: -0.38456290000000004, 1: -0.29701, 2: -0.38449, 3: -0.31078}
State 112: {0: -0.19, 1: -0.20791, 2: -0.1, 3: -0.1}
State 212: {0: -0.2791, 1: -0.199, 2: -0.199, 3: -0.199}
State 312: {0: -0.199, 1: -0.28, 2: -0.199, 3: -0.199}
State 412: {0: -0.19, 1: -0.19981000000000002, 2: -0.11710000000000001, 3: -0.10900000000000001}
State 512: {0: -0.19, 1: -0.199, 2: -0.21608290000000002, 3: -0.19}
State 612: {0: -0.19, 1: -0.19981000000000002, 2: -0.10900000000000001, 3: -0.199}
State 712: {0: -0.19, 1: -0.19981000000000002, 2: -0.21673900000000001, 3: -0.199}
State 812: {0: -0.28, 1: -0.20053900000000002, 2: -0.22407922000000002, 3: -0.199}
State 912: {0: -0.271, 1: -0.29701, 2: -0.22249000000000002, 3: -0.2962}
State 1012: {0: -0.2881, 1: -0.29701, 2: -0.22474261000000004, 3: -0.29701}
State 1112: {0: -0.370639, 1: -0.3940399, 2: -0.393967, 3: -0.29701}
State 113: {0: -0.1, 1: 0, 2: 0, 3: 0}
State 213: {0: -0.1, 1: -0.1, 2: 0, 3: 0}
State 313: {0: -0.1, 1: -0.1, 2: -0.11710000000000001, 3: 0}
State 413: {0: -0.1, 1: -0.1, 2: -0.10900000000000001, 3: -0.1}
State 513: {0: -0.1, 1: -0.1, 2: -0.10900000000000001, 3: -0.1}
State 613: {0: -0.1, 1: -0.1, 2: -0.10900000000000001, 3: -0.1}
State 713: {0: -0.1, 1: -0.10900000000000001, 2: -0.10900000000000001, 3: -0.1}
State 813: {0: -0.19, 1: -0.199, 2: -0.10900000000000001, 3: -0.19}
State 913: {0: -0.199, 1: -0.20791000000000004, 2: -0.21601000000000004, 3: -0.10900000000000001}
State 1013: {0: -0.29701, 1: -0.2985409, 2: -0.21520000000000003, 3: -0.28081}
State 1113: {0: -0.29701, 1: -0.29701, 2: -0.32113990000000003, 3: -0.29701}
State 114: {0: -0.1, 1: -0.1, 2: 0, 3: 0}
State 214: {0: -0.1, 1: -0.1, 2: -0.1, 3: 0}
State 314: {0: -0.1, 1: -0.199, 2: -0.1, 3: 0}
State 414: {0: -0.199, 1: -0.199, 2: -0.1, 3: -0.1}
State 514: {0: -0.199, 1: -0.199, 2: -0.1, 3: -0.1}
State 614: {0: -0.199, 1: -0.199, 2: -0.1, 3: -0.1}
State 714: {0: -0.199, 1: -0.199, 2: -0.1, 3: -0.1}
State 814: {0: -0.199, 1: -0.199, 2: -0.1, 3: -0.1}
State 914: {0: -0.199, 1: -0.199, 2: -0.19, 3: -0.1}
State 1014: {0: -0.199, 1: -0.199, 2: -0.199, 3: -0.199}
State 1114: {0: -0.199, 1: -0.199, 2: -0.199, 3: -0.199}
State 503: {0: -0.1, 1: -0.10900000000000001, 2: -0.1, 3: 0}
State 502: {0: 0, 1: -0.1, 2: -0.1, 3: 0.0}
State 402: {0: 0, 1: -0.1, 2: 0, 3: 0}
State 602: {0: -0.19, 1: -0.19, 2: -0.1, 3: -0.1}
State 702: {0: -0.1, 1: -0.1, 2: -0.19, 3: -0.19}
State 701: {0: -0.19, 1: -0.19, 2: -0.19, 3: -0.19}
State 601: {0: -0.19, 1: -0.19, 2: -0.19, 3: -0.1}
State 603: {0: -0.11936800000000002, 1: -0.199, 2: -0.10900000000000001, 3: -0.1}
State 703: {0: -0.19, 1: -0.19, 2: -0.1, 3: -0.1}
State 803: {0: -0.1179829, 1: -0.1, 2: -0.1, 3: 0}
State 802: {0: -0.1, 1: 0, 2: -0.1, 3: -0.1}
State 801: {0: -0.1, 1: -0.1, 2: 0, 3: -0.199}
State 501: {0: 0, 1: -0.20710000000000003, 2: 0, 3: 0}
State 901: {0: 0, 1: 0, 2: 0, 3: -0.1}
State 1103: {0: -0.22410190000000002, 1: -0.199, 2: -0.19, 3: -0.199}
State 1102: {0: -0.20871190000000003, 1: -0.199, 2: -0.199, 3: -0.19}
State 1002: {0: -0.199, 1: -0.19981000000000002, 2: -0.1, 3: -0.1}
State 1003: {0: -0.215119, 1: -0.199, 2: -0.199, 3: -0.1}
State 403: {0: -0.10900000000000001, 1: 0, 2: 0, 3: 0}
State 203: {0: -0.1, 1: 0, 2: 0, 3: 0}
State 103: {0: -0.11791000000000001, 1: 0, 2: 0, 3: 0}
State 903: {0: -0.11791000000000001, 1: -0.1, 2: -0.1, 3: 0}
State 902: {0: -0.1, 1: -0.10900000000000001, 2: 0, 3: 0}
