State 0: {0: 0.008470732237744761, 1: 0.033667609722068295, 2: 0.0598364988259686, 3: 0.06344942548374466}
State 1: {0: 0.08791836343720208, 1: 0.013904705711243326, 2: 0.05434535233290701, 3: 0.012806046485990864}
State 2: {0: 0.07081322700199867, 1: 0.06058442355139311, 2: 0.08600912635593405, 3: 0.07738775825808691}
State 3: {0: 0.09070923253712054, 1: 0.04905478854039648, 2: 0.017942009530085214, 3: 0.06733806174324063}
State 100: {0: 0.026974924261437883, 1: 0.06561129714173924, 2: 0.07499449570762028, 3: 0.07484076271143764}
State 101: {0: 0.0790297524348751, 1: 0.06122117480577297, 2: 0.06370561939762684, 3: 0.0776405197155432}
State 102: {0: np.float64(1.0187037468330642), 1: 0.09335676394984965, 2: 0.04044880270837212, 3: 0.026722427626600077}
State 103: {0: np.float64(2.03791052357981), 1: np.float64(0.5228913066940266), 2: np.float64(2.5542785281999145), 3: np.float64(0.8945207506506061)}
State 200: {0: 0.05775127065253388, 1: 0.05441366619860442, 2: 0.03419210159953562, 3: 0.08835231806555828}
State 201: {0: 0.03706417231513744, 1: 0.03196159393296294, 2: 0.07046569716565003, 3: 0.015449159842991333}
State 202: {0: 0.05572716182344674, 1: np.float64(1.0082548847107233), 2: 0.04966384225098572, 3: 0.004728610132468925}
State 203: {0: np.float64(0.5477381220446614), 1: 0.04367048490081543, 2: 0.08760617926203494, 3: np.float64(0.6374237793286489)}
State 300: {0: 0.04078409270331526, 1: 0.02125887229454626, 2: 0.03507073195984946, 3: 0.08887636288206027}
State 301: {0: 0.0694805675189331, 1: 0.0817467432688577, 2: 0.0891515126671189, 3: 0.05406935788494906}
State 302: {0: np.float64(0.553172157595126), 1: np.float64(0.5132925714897263), 2: 0.03651384901715298, 3: 0.09326361763661399}
State 303: {0: 0.05216319124073154, 1: np.float64(0.520867927150709), 2: 0.06656270656354522, 3: np.float64(0.4934018945224642)}
State 400: {0: 0.02914127466892065, 1: 0.004683399202568872, 2: 0.03392340754848562, 3: 0.029251085887066354}
State 401: {0: 0.09236652417036514, 1: np.float64(0.9971826607233031), 2: 0.08999295155650539, 3: 0.06397279621469684}
